#,Nombre,Número de Catálogo,Colector(es),Reino,Phylum,Clase,Orden,Familia,Género,País,Departamento,Municipio,Localidad,Latitud,Longitud
1,Achatocarpus nigricans Triana,TULV17802,"A. Castaño N, W. Devia",Plantae,Magnoliophyta,Magnoliopsida,Caryophyllales,ACHATOCARPACEAE,Achatocarpus,Colombia,Valle del Cauca,Obando,"Obando Via San Isidro, finca Cristales","04°34'02.2""N","75°57'45.3""W"
77,Sin especificar,TULV12963,"W. Devia, C. M. Taylor, A. Cogollo, A. Cruz",Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Sin especificar,Colombia,Valle del Cauca,Buenaventura,"Corregimiento Cordoba, San Cipriano, Reserva Natural río Escalerete, Región Biogeográfica del Choco. Montaje parcelas permanentes Investigación-Cuad.:U7, Ind: 122","03°49'41''N","76°52'10''W"
78,Sin especificar,TULV12964,"W. Devia, C. M. Taylor, A. Cogollo, A. Cruz",Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Sin especificar,Colombia,Valle del Cauca,Buenaventura,"Corregimiento Cordoba, San Cipriano, Reserva Natural río Escalerete, Región Biogeográfica del Chocó. Montaje parcelas permanentes Investigación-Cuad.:U3, Ind: 53","03°49'41''N","76°52'10''W"
79,Guatteria,TULV12965,"W. Devia, C. M. Taylor, A. Cogollo, A. Cruz",Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Guatteria,Colombia,Valle del Cauca,Buenaventura,"Corregimiento Cordoba, San Cipriano, Reserva Natural río Escalerete, Región Biogeográfica del Chocó. Montaje parcelas permanentes Investigación-Cuad.:U1, Ind: 18","03°49'41''N","76°52'10''W"
80,Guatteria,TULV13345,"W. Devia, J. Adarve",Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Guatteria,Colombia,Valle del Cauca,Riofrío,"Corregimiento Fenicia, a 1 Km. vía Fenicia-Riofrío, El Crucero.","04°04'06''N","76°22'54''W"
81,Guatteria,TULV13411,"W. Devia, C. M. Taylor, J. Adarve, J. P. Medina",Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Guatteria,Colombia,Valle del Cauca,Buenaventura,"Corregimiento Cordoba Vereda San Cipriano. Reserva Natural río Escalerete. Montaje parcelas permanentes de investigación, transecto U y V (en la V 250-100 m. en la T 100-0 m.)","03°49'41''N","76°52'10''W"
82,Anaxagorea,TULV13424,"W. Devia, C. M. Taylor, J. Adarve, J. P. Medina",Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Anaxagorea,Colombia,Valle del Cauca,Buenaventura,"Corregimiento Cordoba, Vereda San Cipriano. Reserva Natural río Escalerete, Montaje parcelas permanentes de investigación, Transecto U (en la V)","03°49'41''N","76°52'10''W"
83,Guatteria columbiana R.E.Fr.,TULV13438,"W. Devia, C. M. Taylor, J. Adarve, J. P. Medina",Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Guatteria,Colombia,Valle del Cauca,Buenaventura,"Corregimiento Cordoba, Vereda San Cipriano. Reserva Natural río Escalerete, Montaje parcelas permanentes de investigación, Transecto U (en la V)","03°49'41''N","76°52'10''W"
84,Unonopsis,TULV13446,"W. Devia, C. M. Taylor, J. Adarve, J. P. Medina",Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Unonopsis,Colombia,Valle del Cauca,Buenaventura,"Corregimiento Cordoba Vereda San Cipriano. Reserva Natural río Escalerete. Montaje parcelas permanentes de investigación, transecto U (en la V 250-100 m. en la T 100-0 m.)","03°49'41''N","76°52'10''W"
85,Anaxagorea,TULV13470,"W. Devia, C. M. Taylor, J. Adarve, J. P. Medina",Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Anaxagorea,Colombia,Valle del Cauca,Buenaventura,"Corregimiento Cordoba, Vereda San Cipriano. Reserva Natural río Escalerete, Montaje parcelas permanentes de investigación, Transecto U (en la V)","03°49'41''N","76°52'10''W"
86,Guatteria,TULV13725,"W. Devia, J. Adarve, A. Cruz",Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Guatteria,Colombia,Valle del Cauca,Riofrío,"Corregimiento de Fenicia, Km. 10 Vereda la Vigoroza","04°07'32''N","76°21'01''W"
87,Guatteria,TULV13820,"W. Devia, J. Adarve, A. Cruz",Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Guatteria,Colombia,Valle del Cauca,Riofrío,"Corregimiento de Fenicia, Km. 10 Vereda la Vigoroza.","04°07'32''N","76°21'01''W"
88,Oxandra xylopioides Diels,TULV14887,"A. Rudas, A. Prieto, C. Rodriguez",Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Oxandra,Colombia,Amazonas,Tarapacá,Corregimiento de Tarapacá. Parque Nacional natural Amacayacu. Sector lorena (R. Cotuhé) bosque de tierra firme. Parcela permanente  #2. Cuadrado. E19.,"03°02'00''N","70°00'00''W"
89,Sin especificar,TULV15032,W. Devia,Plantae,Magnoliophyta,Magnoliopsida,Rosales,MORACEAE,Sin especificar,Colombia,Valle del Cauca,Riofrío,"Corregimiento Salonica, parte alta  Vereda San Alfonso, Cerca de la Vereda Las Brisas,Cuenca del río Volcanes",Sin especificar,Sin especificar
90,Guatteria,TULV15126,"W. Devia, J. Adarve, Salonica Verde",Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Guatteria,Colombia,Valle del Cauca,Riofrío,"Vía La Judea - La Zulia, Vereda Los Alpes","04°07'00''N","76°22'48''W"
91,Annona cherimolioides Triana & Planch.,TULV15142,"W. Devia, J. Adarve, Salonica Verde",Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Annona,Colombia,Valle del Cauca,Riofrío,"Vía La Judea - La Zulia, Vereda Los Alpes","04°07'00''N","76°22'48''W"
92,Ephedranthus,TULV15149,"W. Devia, J. Adarve, Salonica Verde",Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Ephedranthus,Colombia,Valle del Cauca,Riofrío,"Vía La Judea - La Zulia, Vereda Los Alpes","04°07'00''N","76°22'48''W"
93,Guatteria,TULV15154,"W. Devia, J. Adarve, Salonica Verde",Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Guatteria,Colombia,Valle del Cauca,Riofrío,"Vía La Judea - La Zulia, Vereda Los Alpes","04°07'00''N","76°22'48''W"
94,Anaxagorea crassipetala Hemsl.,TULV15600,G. Galeano,Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Anaxagorea,Colombia,Chocó,Nuquí,Corregimiento de Arusí. Estación Biológica El Amargal.,"05°34'00''N","77°30'00''W"
95,Duguetia  sp nov,TULV15630,"G. Galeano, A. Moreno, G. Moreno, J. Perea",Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Duguetia,Colombia,Chocó,Nuquí,"Corregimiento de Coquí, quebrada Trapiche al sureste de Coquí.","05°32'00""N","77°15'00""W"
96,Guatteria,TULV15747,"W. Devia, J. Adarve, A. Cruz",Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Guatteria,Colombia,Risaralda,Santuario,"Planes San Rafael, Sector Manzanarez, finca Velandia, potrero las cabañas.","05°08'55''N","76°00'53''W"
97,Guatteria,TULV15787,"W. Devia, J. Adarve. A. Cruz, V. Ledezma",Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Guatteria,Colombia,Risaralda,Santuario,"Vereda Planes de San Rafael, PNN Tatama, vereda la Cumbre, dentro de parcela ""U""","05°08'55''N","76°00'53''W"
98,Annona,TULV15864,"W. Devia, J. Adarve & A. Cruz",Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Annona,Colombia,Valle del Cauca,Restrepo,"Corregimiento Muñeco, Valle del Dorado, Finca Gilberto Aristizabal","03°51'16''N","76°26'45''W"
99,Rollinia,TULV15870,"W. Devia, J. Adarve, A. Cruz",Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Rollinia,Colombia,Valle del Cauca,Restrepo,"Corregimiento Muñeco, Valle del Dorado, Finca Gilberto Aristizabal","03°51'16''N","76°26'45''W"
100,Guatteria,TULV15917,"W. Devia, J. Adarve",Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Guatteria,Colombia,Risaralda,Santuario,"Vereda La Cumbre, Finca Chipre, Frente a la casa de Vidalio Ledezma","05°08'55''N","76°00'53''W"
101,Guatteria,TULV15929,"W. Devia, J. Adarve",Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Guatteria,Colombia,Risaralda,Santuario,"Vereda La Cumbre, Finca Chipre, Frente a la casa de Vidalio Ledezma","05°08'55''N","76°00'53''W"
102,Porcelia,TULV16039,"W. Devia, J. Adarve",Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Porcelia,Colombia,Valle del Cauca,El Dovio,"Finca Tapias, de los Urdinolas.","04°27'57''N","76°10'25''W"
103,Guatteria,TULV16077,"W. Devia, J. Adarve",Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Guatteria,Colombia,Valle del Cauca,Restrepo,"Corregimiento Muñeco, Valle del Dorado, Finca la Loma, Propietario Gilberto Aristizabal","03°51'15''N","76°26'44''W"
104,Guatteria,TULV16153,"W. Devia, J. Adarve",Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Guatteria,Colombia,Valle del Cauca,Versalles,"Finca Sendero Ecológico, Aguas Lindas",Sin especificar,Sin especificar
105,Guatteria,TULV16155,"W. Devia, J. Adarve",Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Guatteria,Colombia,Valle del Cauca,Versalles,"Finca Sendero Ecológico, Aguas Lindas",Sin especificar,Sin especificar
106,Guatteria,TULV16160,"W. Devia, J. Adarve",Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Guatteria,Colombia,Valle del Cauca,Versalles,"Finca Sendero Ecológico, Aguas Lindas",Sin especificar,Sin especificar
107,Annona,TULV16194,"W. Devia, J. Adarve",Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Annona,Colombia,Valle del Cauca,Zarzal,Hacienda El Medio,Sin especificar,Sin especificar
108,Porcelia,TULV16531,"W. Devia, I. D. Devia, J. Diaz, J. Adarve",Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Porcelia,Colombia,Valle del Cauca,Tuluá,"Corregimiento La Iberia, Hacienda Casa Roja, vía Tuluá - La Iberia. En quebrada, bosque al norte de la casa.","04°04'53""N","76°08'45""W"
109,Duguetia,TULV17937,A. Castaño N.,Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Duguetia,Colombia,Valle del Cauca,Bugalagrande,"Corregimiento de Galicia, finca La Loma, transecto 1, individuo 54 , Bosque Bernal.",4.11992,-76.079.843
110,Annona,TULV17941,A. Castaño N.,Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Annona,Colombia,Valle del Cauca,Bugalagrande,"Corregimiento de Galicia, finca La Loma, transecto 4, individuo 51, Bosque Bernal.",4.120109,-76.079.814
111,Guatteria,TULV28,I. Cabrera,Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Guatteria,Colombia,Caquetá,Sin especificar,Localizado en las Margenes del Riecito.,Sin especificar,Sin especificar
112,Guatteria latifolia (Mart.) R.E.Fr.,TULV1113,M. Monsalve,Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Guatteria,Colombia,Valle del Cauca,Cali,"Corregimiento Villacarmelo, Vertiente Oriental de la Cordillera Occidental (bh-st) Precipitacion anual 2110 mm.",Sin especificar,Sin especificar
113,Guatteria latifolia (Mart.) R.E.Fr.,TULV1114,M. Monsalve,Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Guatteria,Colombia,Valle del Cauca,Cali,"Corregimiento Villacarmelo, Vertiente Oriental de la Cordillera Occidental (bh-st) Precipitacion anual 2110 mm.",Sin especificar,Sin especificar
114,Guatteria,TULV1563,W. Devia,Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Guatteria,Colombia,Valle del Cauca,Versalles,"Bocatoma Acueducto Municipal, Suroeste de Versalles.","04°37'00''N","76°11'00''W"
115,Unonopsis floribunda Diels,TULV1800,L. E. Forero,Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Unonopsis,Colombia,Chocó,Litoral del San Juan,"Corregimiento de Palestina, Hoya del río San Juan",Sin especificar,Sin especificar
116,Guatteria collinia R.E.Fr.,TULV1896,L. E. Forero,Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Guatteria,Colombia,Chocó,Docordó,"Hoya del río San Juan, alrededores de Docordó","04°15'00''N","77°22'00''W"
117,Guatteria,TULV2103,W. Devia,Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Guatteria,Colombia,Valle del Cauca,Buenaventura,"Corregimiento Bajo Calima, Granja Agroforestal.","03°56'00''N","77°08'00''W"
118,Guatteria elegantissima R.E.Fr.,TULV2143,W. Devia,Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Guatteria,Colombia,Valle del Cauca,Buenaventura,"Corregimiento Bajo Calima, Granja Agroforestal.","03°56'00''N","77°08'00''W"
119,Guatteria columbiana R.E.Fr.,TULV2180,W. Devia,Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Guatteria,Colombia,Valle del Cauca,Buenaventura,"Corregimiento San Isidro, campamento CONIF.","03°59'00''N","77°04'00''W"
120,Guatteria calimensis R.E.Fr.,TULV2181,W. Devia,Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Guatteria,Colombia,Valle del Cauca,Buenaventura,"Corregimiento San Isidro, campamento CONIF.","03°59'00''N","77°04'00''W"
121,Guatteria pacifica R.E.Fr.,TULV2182,W. Devia,Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Guatteria,Colombia,Valle del Cauca,Buenaventura,"Corregimiento San Isidro, campamento CONIF.","03°59'00''N","77°04'00''W"
122,Guatteria collinia R.E.Fr.,TULV2183,W. Devia,Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Guatteria,Colombia,Valle del Cauca,Buenaventura,"Corregimiento San Isidro, campamento CONIF.","03°59'00''N","77°04'00''W"
123,Rollinia mucosa (Jacq.) Baill.,TULV2197,W. Devia,Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Rollinia,Colombia,Valle del Cauca,Buenaventura,"Corregimiento Bajo Calima, Granja Agroforestal.","03°56'00''N","77°08'00''W"
124,Rollinia mucosa (Jacq.) Baill.,TULV2198,W. Devia,Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Rollinia,Colombia,Valle del Cauca,Buenaventura,"Corregimiento Bajo Calima, Granja Agroforestal.","03°56'00''N","77°08'00''W"
125,Guatteria,TULV2315,A. Gentry,Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Guatteria,Colombia,Valle del Cauca,Buenaventura,"Corregimiento Bajo Calima, near San Isidro, N of Buenaventura, Carton Colombia concession, tropical wet/pluvial forest transition above mouth of Río Calima.","03°56'00''N","77°08'00''W"
126,Pseudoxandra pacifica Maas,TULV2332,A. Gentry,Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Pseudoxandra,Colombia,Valle del Cauca,Buenaventura,"Corregimiento Bajo Calima, ca. 10 Km. due N of Buenaventura, Cartón Colombia consession, transition between tropical wet and pluvial forest, transect 4.","03°56'00''N","77°08'00''W"
127,Anaxagorea,TULV2367,A. Gentry,Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Anaxagorea,Colombia,Nariño,Tumaco,"INDERENA station, Km. 55 from Tumaco on road to Tuquerres, mature tropical forest being selectively logged.",Sin especificar,Sin especificar
128,Sin especificar,TULV2373,A. Gentry,Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Sin especificar,Colombia,Valle del Cauca,Buenaventura,"Corregimiento Bajo Calima, ca. 10 Km. due N of Buenaventura, Cartón Colombia concession, transition between tropical wet and pluvial forest, transect 5.","03°56'00''N","77°08'00''W"
129,Guatteria,TULV2446,A. Gentry,Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Guatteria,Colombia,Nariño,Tumaco,"Tumaco-Tuquerres road, W of Junin, tropical pluvial forest.","01°34'00''N","78°23'00''W"
130,Guatteria,TULV2447,A. Gentry,Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Guatteria,Colombia,Nariño,Tumaco,"Tumaco-Tuquerres road, W of Junin, tropical pluvial forest.","01°34'00''N","78°23'00''W"
131,Guatteria,TULV2463,A. Gentry,Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Guatteria,Colombia,Valle del Cauca,Buenaventura,"Corregimiento Bajo Calima, ca. 10 Km. due N of Buenaventura, Cartón Colombia concession, transition between tropical wet and pluvial forest, transect 6.","03°56'00''N","77°08'00''W"
132,Cananga odorata (Lam.) Hook.f. & Thomson,TULV2562,L. E. Forero,Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Cananga,Colombia,Valle del Cauca,Cali,"Flora ornamental de la ciudad de Cali, perimetro urbano.","03°27'00''N","76°31'00''W"
133,Guatteria alta R.E.Fr.,TULV2716,W. Devia,Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Guatteria,Colombia,Valle del Cauca,Dagua,"Corregimiento El Danubio, Alto Anchicayá, laderas pendientes, cultivadas.","03°37'00''N","76°53'00''W"
134,Guatteria alta R.E.Fr.,TULV2717,W. Devia,Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Guatteria,Colombia,Valle del Cauca,Dagua,"Corregimiento El Danubio, Alto Anchicayá, laderas pendientes, cultivadas.","03°37'00''N","76°53'00''W"
135,Guatteria alta R.E.Fr.,TULV2727,W. Devia,Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Guatteria,Colombia,Valle del Cauca,Dagua,"Corregimiento El Danubio, Alto Anchicayá, laderas pendientes","03°37'00''N","76°53'00''W"
136,Guatteria alta R.E.Fr.,TULV2728,W. Devia,Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Guatteria,Colombia,Valle del Cauca,Dagua,"Corregimiento El Danubio, Alto Anchicayá, laderas pendientes","03°37'00''N","76°53'00''W"
137,Annona,TULV2918,H. Cuadros,Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Annona,Colombia,Valle del Cauca,Tuluá,"Corregimiento Mateguadua, Jardín Botánico Juan María Céspedes, reserva natural.","04°01'42""N","76°10'08""W"
138,Unonopsis,TULV3536,H. Cuadros,Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Unonopsis,Colombia,Valle del Cauca,Buenaventura,"Corregimento Bocas del Tigre, Quebrada Mondoyá",Sin especificar,Sin especificar
139,Guatteria,TULV3793,W. Devia,Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Guatteria,Colombia,Valle del Cauca,Yotoco,Reserva Natural de Yotoco,"03°52'30''N","76°26'09''W"
140,Cananga odorata (Lam.) Hook.f. & Thomson,TULV3794,W. Devia,Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Cananga,Colombia,Valle del Cauca,Tuluá,"Corregimiento de Mateguadua, Jardín Botánico Juan María Céspedes.","04°01'42""N","76°10'08""W"
141,Guatteria crassipes R.E.Fr.,TULV3831,W. Devia,Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Guatteria,Colombia,Valle del Cauca,Yotoco,"Corregimiento Jiguales, finca La Camelia.","03°51'00''N","76°27'00''W"
142,Guatteria crassipes R.E.Fr.,TULV3859,W. Devia,Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Guatteria,Colombia,Valle del Cauca,Yotoco,"Corregimieno Jiguales, finca La Camelia.","03°51'00''N","76°27'00''W"
143,Guatteria crassipes R.E.Fr.,TULV3900,W. Devia,Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Guatteria,Colombia,Valle del Cauca,Yotoco,"Corregimiento Jiguales, Vereda El Jardín, finca Milan.","03°51'00''N","76°27'00''W"
144,Guatteria,TULV3902,W. Devia,Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Guatteria,Colombia,Valle del Cauca,Yotoco,"Corregimiento Jiguales, Vereda El Jardín, finca Milan.","03°51'00''N","76°27'00''W"
145,Annona quinduensis Kunth,TULV3916,W. Devia,Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Annona,Colombia,Valle del Cauca,Tuluá,"Corregimiento Mateguadua, finca Joselin.","04°01'42""N","76°10'08""W"
146,Annona quinduensis Kunth,TULV3918,W. Devia,Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Annona,Colombia,Valle del Cauca,Tuluá,"Corregimiento Mateguadua, finca Joselin.","04°01'42""N","76°10'08""W"
147,Guatteria,TULV4116,P. Silverstone,Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Guatteria,Colombia,Valle del Cauca,Jamundí,"Vía Jamundí-Villa Colombia, La Meseta, a 2 Km. Hda. La Meseta y a 35 Km. de la Plaza de Jamundí.",Sin especificar,Sin especificar
148,Guatteria,TULV4567,W. Devia,Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Guatteria,Colombia,Valle del Cauca,Restrepo,"Vereda Río Bravo, Quebrada La Cristalina, El Pital, Proyecto Calima III.","03°55'00''N","76°33'00''W"
149,Annona,TULV4608,W. Devia,Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Annona,Colombia,Valle del Cauca,Restrepo,"Vereda Río Bravo, Quebrada La Cristalina, El Pital, Proyecto Calima III.",Sin especificar,Sin especificar
150,Guatteria,TULV4623,W. Devia,Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Guatteria,Colombia,Valle del Cauca,Restrepo,"Vereda Río Bravo, Quebrada La Cristalina, El Pital, Proyecto Calima III.","03°55'00''N","76°33'00''W"
151,Annona,TULV4666,W. Devia,Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Annona,Colombia,Valle del Cauca,Buenaventura,"Campamento El Chanco, Proyecto Calima III, CVC,","03°54'00''N","76°37'00''W"
152,Guatteria,TULV4670,W. Devia,Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Guatteria,Colombia,Valle del Cauca,Buenaventura,"Campamento El Chanco, Proyecto Calima III, CVC.","03°54'00''N","76°37'00''W"
153,Guatteria,TULV4700,W. Devia,Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Guatteria,Colombia,Valle del Cauca,Restrepo,"Campamento río Azul-El Chanco, Proyecto Calima III, CVC,","04°00'00''N","76°40'00''W"
154,Annona muricata L.,TULV4734,W. Devia,Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Annona,Colombia,Valle del Cauca,Cali,"Flora ornamental de la ciudad de Cali, perimetro urbano, Sta. Teresita, La Portada.","03°27'00''N","76°31'00''W"
155,Polyalthia,TULV4735,W. Devia,Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Polyalthia,Colombia,Valle del Cauca,Cali,"Flora ornamental de la ciudad de Cali, perimetro urbano, Tequendama, Cra. 42 Calle 5C.","03°27'00''N","76°31'00''W"
156,Cananga odorata (Lam.) Hook.f. & Thomson,TULV4737,W. Devia,Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Cananga,Colombia,Valle del Cauca,Cali,"Flora ornamental de la ciudad de Cali, perimetro urbano, Centenario.","03°27'00''N","76°31'00''W"
157,Annona muricata L.,TULV4998,W. Devia,Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Annona,Colombia,Valle del Cauca,Cali,"Flora ornamental de la ciudad de Cali, perimetro urbano, Cambulos, Cra. 42 # 9-17.","03°27'00''N","76°31'00''W"
158,Annona squamosa L.,TULV4999,W. Devia,Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Annona,Colombia,Valle del Cauca,Cali,"Flora ornamental de la ciudad de Cali, perimetro urbano, San Carlos, Cra. 33C # 31 - 31.","03°27'00''N","76°31'00''W"
